Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Callithrix jacchus,1.8.2,Common marmoset,Primates,95,47%,1,5.71,4,0.5,15.58,0.395,1.18,22.8,255.2,no,Blood
Canis lupus familiaris,5.1.1,Dog,Carnivora,742,54%,1,6.21,4.24,0.1,17.5,0.17,1.83,24,26625,no,Blood
Capra hircus,4.1.5,Domestic goat,Artiodactyla,81,74%,2,3.52,2.2,-0.41,8.55,0.425,1.49,20.8,61000,no,Ear;iPSC
Capreolus capreolus,4.3.1,Roe deer,Artiodactyla,188,51%,1,4.2,3.34,0.67,13.67,0.419,1.46,17.5,21666.7,no,Blood
Carollia perspicillata,8.4.2,Seba's short-tailed bat,Chiroptera,32,53%,1,4.57,3.49,0.2,10.5,0.26,0.74,17,15,no,Skin
Cavia porcellus,9.3.1,Guinea pig,Rodentia,3,67%,2,1.21,1.09,0.3,2.42,0.186,0.19,12,728,no,Blood;Skin
Cephalorhynchus commersonii,4.13.1,Commerson's dolphin,Artiodactyla,8,25%,2,25.86,6.97,18.56,37,0.959,5.5,38,50000,no,Blood;Skin
Cephalorhynchus hectori hectori,4.13.2,Hector's dolphin,Artiodactyla,44,61%,1,9.22,4.74,0.2,22,0.917,7.75,23,50000,no,Skin
Cephalorhynchus hectori maui,4.13.11,Maui dolphin,Artiodactyla,8,38%,1,13.53,8.07,3,23,0.917,7.75,23,50000,no,Skin
Ceratotherium simum simum,6.2.1,Southern white rhinoceros,Perissodactyla,23,78%,1,9.31,8.36,0.31,29.66,1.411,4.5,45,2175000,no,Blood
Cervus canadensis,4.3.5,Wapity elk,Artiodactyla,42,81%,1,4.6,4.1,0.1,13.68,0.688,2,25,280093.29,no,Blood
Cervus elaphus,4.3.2,Red deer,Artiodactyla,53,75%,1,3.99,3.53,0.08,10.84,0.671,2.17,31.5,200000,no,Blood
Cheirogaleus medius,1.6.1,Fat-tailed dwarf lemur,Primates,3,0%,2,20.08,16.53,0.99,29.62,0.167,1,30,380,no,Blood;Skin
Chinchilla lanigera,9.4.1,Long-tailed chinchilla,Rodentia,3,0%,1,0.92,0.14,0.75,1,0.304,0.66,17.2,642.5,no,Skin
Chlorocebus aethiops sabaeus,1.4.1,Vervet,Primates,243,63%,4,7.18,7.61,-0.43,25.02,0.444,3.92,30.8,5620,no,Blood;Cortex;iPSC;Liver
Choloepus didactylus,20.1.1,Linne's Two-toed sloth,Pilosa,2,0%,2,13.16,0.06,13.12,13.2,0.764,4,36.8,6250,no,Blood;Skin
Choloepus hoffmanni,20.1.2,Hoffmann's two-toed sloth,Pilosa,4,50%,1,13.78,20.35,1.78,44.18,0.959,2.5,45,6250,no,Blood
Chrysocyon brachyurus,5.1.3,Maned wolf,Carnivora,5,80%,1,7.97,3.4,4.75,13.62,0.175,2,16.8,21500,no,Blood
Connochaetes taurinus albojubatus,4.1.6,White-bearded gnu,Artiodactyla,10,70%,1,12.43,4.37,7,18.97,0.693,1.81,24.3,164500,no,Blood
Cricetomys gambianus,9.12.1,Gambian pouched rat,Rodentia,1,100%,1,5,,5,5,0.093,0.43,8.4,1500,no,Liver
Crocuta crocuta,5.5.1,Spotted hyena,Carnivora,6,100%,1,7.75,7.61,1.32,17.51,0.301,2.38,41.1,63000,no,Blood
Cryptomys hottentotus,9.1.5,African mole rat,Rodentia,16,,5,4.5,0,4.5,4.5,0.222,1.23,11,132.5,no,Blood;Brain;Liver;Muscle;Skin
Cuniculus paca,9.6.1,Lowland paca,Rodentia,3,0%,2,1.07,0.12,1,1.2,0.318,1,16.3,9000,no,Liver;Skin
Cynopterus brachyotis,8.5.1,Lesser short-nosed fruit bat,Chiroptera,10,60%,1,10.56,2.09,6.7,12.9,0.307,0.69,13,45,no,Skin
Daubentonia madagascariensis,1.9.1,Aye-aye,Primates,4,75%,2,21.04,16.74,0.7,36.67,0.452,4.25,37,2277.5,no,Blood;Skin
Delphinapterus leucas,4.19.1,Beluga whale,Artiodactyla,185,51%,2,15.4,11.28,-1,49.21,1.279,11.01,50,1430000,no,Blood;Skin
Delphinus delphis,4.13.12,Common dolphin,Artiodactyla,6,67%,2,14.82,10.22,2.56,26.22,0.959,4.57,35,80000,no,Blood;Skin
Desmodus rotundus,8.4.3,Common vampire bat,Chiroptera,47,62%,2,7.7,4.83,0.3,17.3,0.518,0.78,29.9,33.2,no,Liver;Skin
Diceros bicornis,6.2.2,Eastern black rhinoceros,Perissodactyla,5,60%,1,25.19,9.01,9.61,30.97,1.299,5.59,49,1100000,no,Blood
Echinops telfairi,13.2.1,Lesser hedgehog tenrec,Afrosoricida,8,,4,2.17,0,2.17,2.17,0.151,1,19,180,no,Brain;Liver;Muscle;Skin
Eidolon helvum,8.5.2,Straw-colored fruit bat,Chiroptera,24,71%,1,8.35,4.3,3.4,16.5,0.753,1.75,21.8,306.25,no,Skin
Elephas maximus,2.1.1,Asian elephant,Proboscidea,83,81%,1,36.99,17.39,2.36,73.59,1.764,9.01,88,3178000,no,Blood
Enhydra lutris,5.6.2,Southern sea otter,Carnivora,6,100%,2,6.93,1.78,4.7,8.54,0.384,3.21,27,25850,no,Blood;Skin
Eptesicus fuscus,8.7.2,Big brown bat,Chiroptera,79,32%,4,4.37,3.47,0.3,18.3,0.164,1.75,23,23,no,Brain;Liver;Muscle;Skin
Equus africanus somaliensis,6.1.4,Somali wild ass,Perissodactyla,7,14%,1,7.21,2.49,2.38,10.03,1.007,1.75,47,250000,no,Blood
Equus caballus,6.1.1,Horse,Perissodactyla,350,71%,34,8.24,6.51,0,29,0.923,2.58,57,300000,no,Adipose;AdrenalCortex;Blood;Cartilage;Cecum;Cerebellum;Cortex;Duodenum;Fibroblast;Heart;Hypothalamus;Ileum;Jejunum;Keratinocyte;Kidney;Lamina;Larynx;Liver;Lung;Mammary;MitralValve;Muscle;OccipitalCortex;Ovaries;ParietalCortex;Pituitary;Sacrocaudalis;Skin;SpinalCord;Spleen;Suspensory;TemporalCortex;Tendon;Uterus
Equus grevyi,6.1.2,Grevy's zebra,Perissodactyla,5,20%,1,9.04,6.67,2.31,18.47,1.112,3.75,31,384000,no,Blood
Equus quagga,6.1.3,Zebra,Perissodactyla,96,53%,2,5.35,4.83,0.16,24.77,1,2.47,38,280000,no,Blood;Skin
